datetime,Magnitude,BGSM_X,BGSM_Y,BGSM_Z
2001-05-06 00:00:15,4.753,-2.36,-3.479,2.218
2001-05-06 00:00:31,4.738,-2.333,-3.457,2.248
2001-05-06 00:00:47,4.756,-2.415,-3.389,2.302
2001-05-06 00:01:03,4.733,-2.328,-3.406,2.318
2001-05-06 00:01:19,4.766,-2.341,-3.447,2.312
2001-05-06 00:01:35,4.77,-2.269,-3.547,2.241
2001-05-06 00:01:51,4.825,-2.251,-3.635,2.236
2001-05-06 00:02:07,4.819,-2.275,-3.598,2.257
2001-05-06 00:02:23,4.774,-2.407,-3.437,2.276
2001-05-06 00:02:39,4.759,-2.352,-3.443,2.293
2001-05-06 00:02:55,4.759,-2.348,-3.415,2.338
2001-05-06 00:03:11,4.75,-2.378,-3.387,2.331
2001-05-06 00:03:27,4.728,-2.401,-3.372,2.282
2001-05-06 00:03:43,4.782,-2.486,-3.373,2.304
2001-05-06 00:03:59,4.737,-2.393,-3.373,2.309
2001-05-06 00:04:15,4.751,-2.545,-3.259,2.339
2001-05-06 00:04:31,4.817,-2.715,-3.187,2.378
2001-05-06 00:04:47,4.786,-2.782,-3.034,2.439
2001-05-06 00:05:03,4.817,-2.98,-2.859,2.479
2001-05-06 00:05:19,4.814,-2.934,-2.88,2.504
2001-05-06 00:05:35,4.818,-2.899,-2.925,2.5
2001-05-06 00:05:51,4.799,-2.857,-2.982,2.445
2001-05-06 00:06:07,4.831,-2.834,-3.013,2.494
2001-05-06 00:06:23,4.863,-2.996,-2.777,2.63
2001-05-06 00:06:39,4.87,-2.855,-2.987,2.569
2001-05-06 00:06:55,4.834,-2.832,-2.855,2.664
2001-05-06 00:07:11,4.806,-2.704,-3.311,2.194
2001-05-06 00:07:27,4.788,-2.742,-3.244,2.21
2001-05-06 00:07:43,4.783,-2.699,-3.195,2.317
2001-05-06 00:07:59,4.753,-2.686,-3.128,2.36
2001-05-06 00:08:15,4.794,-2.735,-3.145,2.365
2001-05-06 00:08:31,4.756,-2.755,-3.118,2.281
2001-05-06 00:08:47,4.826,-3.114,-3.029,2.1
2001-05-06 00:09:03,4.807,-2.975,-3.025,2.259
2001-05-06 00:09:19,4.796,-2.981,-3.0,2.262
2001-05-06 00:09:35,4.837,-2.926,-3.138,2.231
2001-05-06 00:09:51,4.793,-2.987,-2.951,2.31
2001-05-06 00:10:07,4.841,-2.992,-2.961,2.391
2001-05-06 00:10:23,4.834,-2.949,-3.063,2.3
2001-05-06 00:10:39,4.823,-2.958,-3.075,2.247
2001-05-06 00:10:55,4.811,-2.977,-3.041,2.242
2001-05-06 00:11:11,4.802,-3.027,-2.973,2.248
2001-05-06 00:11:27,4.788,-2.966,-2.986,2.282
2001-05-06 00:11:43,4.808,-2.969,-2.959,2.355
2001-05-06 00:11:59,4.831,-2.93,-3.028,2.355
2001-05-06 00:12:15,4.828,-2.918,-3.285,2.001
2001-05-06 00:12:31,4.84,-2.96,-3.147,2.181
2001-05-06 00:12:47,4.815,-2.836,-3.017,2.453
2001-05-06 00:13:03,4.815,-2.923,-2.891,2.505
2001-05-06 00:13:19,4.866,-3.031,-2.845,2.522
2001-05-06 00:13:35,4.854,-3.173,-2.864,2.299
2001-05-06 00:13:51,4.852,-3.178,-2.848,2.308
2001-05-06 00:14:07,4.826,-3.087,-2.875,2.335
2001-05-06 00:14:23,4.828,-2.915,-2.795,2.645
2001-05-06 00:14:39,4.843,-3.022,-2.811,2.534
2001-05-06 00:14:55,4.863,-3.039,-2.775,2.59
2001-05-06 00:15:11,4.862,-2.997,-2.821,2.587
2001-05-06 00:15:27,4.871,-3.132,-2.678,2.597
2001-05-06 00:15:43,4.896,-3.151,-2.692,2.605
2001-05-06 00:15:59,4.888,-3.096,-2.732,2.608
2001-05-06 00:16:15,4.81,-2.938,-2.914,2.451
2001-05-06 00:16:31,4.836,-3.05,-2.753,2.549
2001-05-06 00:16:47,4.751,-3.046,-2.716,2.431
2001-05-06 00:17:03,4.746,-3.038,-2.716,2.431
2001-05-06 00:17:19,4.751,-3.048,-2.75,2.391
2001-05-06 00:17:35,4.754,-3.09,-2.648,2.455
2001-05-06 00:17:51,4.766,-3.126,-2.647,2.436
2001-05-06 00:18:07,4.803,-3.129,-2.692,2.454
2001-05-06 00:18:23,4.792,-3.121,-2.69,2.445
2001-05-06 00:18:39,4.762,-3.086,-2.663,2.461
2001-05-06 00:18:55,4.773,-3.111,-2.598,2.519
2001-05-06 00:19:11,4.754,-3.098,-2.6,2.497
2001-05-06 00:19:27,4.797,-3.224,-2.567,2.452
2001-05-06 00:19:43,4.779,-3.185,-2.541,2.487
2001-05-06 00:19:59,4.766,-3.144,-2.709,2.338
2001-05-06 00:20:15,4.796,-3.195,-2.83,2.184
2001-05-06 00:20:31,4.834,-3.211,-2.643,2.443
2001-05-06 00:20:47,4.738,-3.15,-2.412,2.59
2001-05-06 00:21:03,4.747,-3.185,-2.399,2.575
2001-05-06 00:21:19,4.754,-3.118,-2.462,2.61
2001-05-06 00:21:35,4.787,-3.164,-2.512,2.566
2001-05-06 00:21:51,4.788,-3.122,-2.537,2.593
2001-05-06 00:22:07,4.76,-3.155,-2.597,2.41
2001-05-06 00:22:23,4.756,-3.123,-2.839,2.19
2001-05-06 00:22:39,4.769,-3.277,-2.583,2.292
2001-05-06 00:22:55,4.734,-3.341,-2.4,2.341
2001-05-06 00:23:11,4.82,-3.301,-2.65,2.299
2001-05-06 00:23:27,4.798,-3.149,-2.752,2.349
2001-05-06 00:23:43,4.784,-3.128,-2.753,2.348
2001-05-06 00:23:59,4.773,-3.187,-2.671,2.342
2001-05-06 00:24:15,4.799,-3.255,-2.602,2.377
2001-05-06 00:24:31,4.839,-3.384,-2.514,2.374
2001-05-06 00:24:47,4.865,-3.404,-2.487,2.428
2001-05-06 00:25:03,4.826,-3.376,-2.477,2.398
2001-05-06 00:25:19,4.846,-3.352,-2.398,2.546
2001-05-06 00:25:35,4.831,-3.365,-2.435,2.465
2001-05-06 00:25:51,4.864,-3.56,-2.005,2.611
2001-05-06 00:26:07,4.786,-3.575,-1.801,2.62
2001-05-06 00:26:23,4.745,-3.537,-1.791,2.604
2001-05-06 00:26:39,4.741,-3.551,-1.879,2.515
2001-05-06 00:26:55,4.742,-3.519,-1.985,2.482
2001-05-06 00:27:11,4.787,-3.542,-1.994,2.527
2001-05-06 00:27:27,4.804,-3.508,-2.058,2.553
2001-05-06 00:27:43,4.79,-3.585,-2.084,2.395
2001-05-06 00:27:59,4.732,-3.413,-2.21,2.419
2001-05-06 00:28:15,4.778,-3.495,-2.193,2.404
2001-05-06 00:28:31,4.821,-3.544,-2.105,2.499
2001-05-06 00:28:47,4.771,-3.466,-2.142,2.479
2001-05-06 00:29:03,4.807,-3.495,-2.171,2.485
2001-05-06 00:29:19,4.756,-3.481,-2.018,2.534
2001-05-06 00:29:35,4.777,-3.563,-1.987,2.484
2001-05-06 00:29:51,4.709,-3.419,-2.066,2.493
2001-05-06 00:30:07,4.75,-3.484,-2.048,2.494
2001-05-06 00:30:23,4.697,-3.421,-2.047,2.482
2001-05-06 00:30:39,4.674,-3.397,-2.02,2.495
2001-05-06 00:30:55,4.672,-3.379,-2.107,2.442
2001-05-06 00:31:11,4.684,-3.404,-2.104,2.432
2001-05-06 00:31:27,4.679,-3.402,-2.109,2.421
2001-05-06 00:31:43,4.639,-3.357,-2.118,2.401
2001-05-06 00:31:59,4.628,-3.387,-2.182,2.275
2001-05-06 00:32:15,4.654,-3.404,-2.065,2.408
2001-05-06 00:32:31,4.654,-3.422,-2.031,2.413
2001-05-06 00:32:47,4.7,-3.512,-1.93,2.454
2001-05-06 00:33:03,4.654,-3.393,-2.049,2.439
2001-05-06 00:33:19,4.616,-3.399,-2.026,2.376
2001-05-06 00:33:35,4.624,-3.383,-2.067,2.379
2001-05-06 00:33:51,4.604,-3.518,-1.689,2.439
2001-05-06 00:34:07,4.582,-3.545,-1.566,2.442
2001-05-06 00:34:23,4.66,-3.687,-1.486,2.429
2001-05-06 00:34:39,4.608,-3.603,-1.456,2.474
2001-05-06 00:34:55,4.62,-3.487,-1.623,2.559
2001-05-06 00:35:11,4.609,-3.592,-1.521,2.45
2001-05-06 00:35:27,4.604,-3.601,-1.468,2.462
2001-05-06 00:35:43,4.605,-3.606,-1.369,2.512
2001-05-06 00:35:59,4.585,-3.719,-1.56,2.177
2001-05-06 00:36:15,4.59,-3.602,-1.811,2.191
2001-05-06 00:36:31,4.583,-3.621,-1.599,2.31
2001-05-06 00:36:47,4.572,-3.656,-1.343,2.383
2001-05-06 00:37:03,4.656,-3.779,-0.857,2.58
2001-05-06 00:37:19,4.607,-3.736,-0.945,2.524
2001-05-06 00:37:35,4.577,-3.693,-0.931,2.538
2001-05-06 00:37:51,4.615,-3.748,-0.947,2.515
2001-05-06 00:38:07,4.621,-3.709,-1.104,2.523
2001-05-06 00:38:23,4.673,-3.741,-1.584,2.239
2001-05-06 00:38:39,4.777,-3.872,-1.408,2.409
2001-05-06 00:38:55,4.756,-3.772,-1.785,2.275
2001-05-06 00:39:11,4.76,-3.776,-1.799,2.273
2001-05-06 00:39:27,4.759,-3.681,-1.736,2.463
2001-05-06 00:39:43,4.815,-3.743,-1.817,2.419
2001-05-06 00:39:59,4.765,-3.662,-1.971,2.319
2001-05-06 00:40:15,4.747,-3.607,-2.181,2.181
2001-05-06 00:40:31,4.787,-3.555,-2.391,2.132
2001-05-06 00:40:47,4.757,-3.517,-2.485,2.021
2001-05-06 00:41:03,4.753,-3.607,-2.393,1.962
2001-05-06 00:41:19,4.773,-3.652,-2.38,1.939
2001-05-06 00:41:35,4.71,-3.56,-2.404,1.93
2001-05-06 00:41:51,4.698,-3.584,-2.354,1.917
2001-05-06 00:42:07,4.696,-3.571,-2.356,1.934
2001-05-06 00:42:23,4.656,-3.557,-2.309,1.921
2001-05-06 00:42:39,4.685,-3.609,-2.262,1.948
2001-05-06 00:42:55,4.682,-3.573,-2.264,2.002
2001-05-06 00:43:11,4.651,-3.516,-2.214,2.073
2001-05-06 00:43:27,4.559,-3.427,-2.409,1.793
2001-05-06 00:43:43,4.577,-3.453,-2.389,1.82
2001-05-06 00:43:59,4.64,-3.494,-2.183,2.122
2001-05-06 00:44:15,4.704,-3.566,-1.895,2.41
2001-05-06 00:44:31,4.819,-3.722,-1.799,2.475
2001-05-06 00:44:47,4.814,-3.755,-1.831,2.392
2001-05-06 00:45:03,4.815,-3.774,-1.795,2.391
2001-05-06 00:45:19,4.74,-3.708,-1.752,2.374
2001-05-06 00:45:35,4.775,-3.798,-1.963,2.125
2001-05-06 00:45:51,4.798,-3.804,-1.95,2.177
2001-05-06 00:46:07,4.807,-3.853,-1.809,2.231
2001-05-06 00:46:23,4.823,-3.897,-1.768,2.222
2001-05-06 00:46:39,4.824,-3.865,-1.79,2.263
2001-05-06 00:46:55,4.805,-3.832,-1.784,2.285
2001-05-06 00:47:11,4.875,-3.89,-1.83,2.298
2001-05-06 00:47:27,4.866,-3.865,-1.847,2.308
2001-05-06 00:47:43,4.872,-3.86,-1.846,2.328
2001-05-06 00:47:59,4.907,-3.992,-1.774,2.235
2001-05-06 00:48:15,4.864,-3.927,-1.723,2.292
2001-05-06 00:48:31,4.957,-3.971,-1.743,2.399
2001-05-06 00:48:47,4.894,-3.922,-1.671,2.403
2001-05-06 00:49:03,4.819,-3.798,-1.643,2.468
2001-05-06 00:49:19,4.902,-3.846,-1.665,2.541
2001-05-06 00:49:35,4.86,-3.797,-1.645,2.548
2001-05-06 00:49:51,4.859,-3.783,-1.639,2.571
2001-05-06 00:50:07,4.891,-3.8,-1.612,2.622
2001-05-06 00:50:23,4.906,-3.818,-1.6,2.631
2001-05-06 00:50:39,4.867,-3.807,-1.543,2.609
2001-05-06 00:50:55,4.848,-3.81,-1.492,2.6
2001-05-06 00:51:11,4.874,-3.837,-1.531,2.586
2001-05-06 00:51:27,4.825,-3.733,-1.609,2.599
2001-05-06 00:51:43,4.86,-3.805,-1.638,2.542
2001-05-06 00:51:59,4.933,-3.913,-1.645,2.512
2001-05-06 00:52:15,4.924,-3.9,-1.595,2.546
2001-05-06 00:52:31,4.849,-3.859,-1.479,2.536
2001-05-06 00:52:47,4.854,-3.891,-1.443,2.516
2001-05-06 00:53:03,4.857,-3.879,-1.468,2.527
2001-05-06 00:53:19,4.861,-3.888,-1.451,2.531
2001-05-06 00:53:35,4.853,-3.898,-1.402,2.529
2001-05-06 00:53:51,4.875,-3.901,-1.415,2.556
2001-05-06 00:54:07,4.901,-3.978,-1.45,2.465
2001-05-06 00:54:23,4.877,-3.967,-1.423,2.454
2001-05-06 00:54:39,4.877,-3.915,-1.515,2.48
2001-05-06 00:54:55,4.859,-3.875,-1.512,2.511
2001-05-06 00:55:11,4.883,-3.908,-1.449,2.541
2001-05-06 00:55:27,4.867,-3.939,-1.532,2.414
2001-05-06 00:55:43,4.834,-3.872,-1.514,2.462
2001-05-06 00:55:59,4.845,-3.985,-1.273,2.444
2001-05-06 00:56:15,4.826,-3.895,-1.422,2.468
2001-05-06 00:56:31,4.829,-3.981,-1.332,2.381
2001-05-06 00:56:47,4.817,-4.196,-0.582,2.282
2001-05-06 00:57:03,4.777,-4.149,-0.789,2.23
2001-05-06 00:57:19,4.847,-4.234,-0.787,2.222
2001-05-06 00:57:35,4.765,-4.115,-0.73,2.288
2001-05-06 00:57:51,4.769,-4.087,-0.623,2.377
2001-05-06 00:58:07,4.71,-3.994,-0.447,2.453
2001-05-06 00:58:23,4.776,-4.187,-0.429,2.249
2001-05-06 00:58:39,4.771,-4.156,-0.321,2.318
2001-05-06 00:58:55,4.8,-4.09,-0.172,2.504
2001-05-06 00:59:11,4.785,-4.081,-0.232,2.484
2001-05-06 00:59:27,4.81,-4.155,-0.251,2.409
2001-05-06 00:59:43,4.81,-4.081,-0.188,2.537
2001-05-06 00:59:59,4.846,-4.124,-0.112,2.54
2001-05-06 01:00:15,4.797,-4.099,-0.005,2.488
2001-05-06 01:00:31,4.764,-4.067,0.058,2.478
2001-05-06 01:00:47,4.748,-4.019,0.13,2.522
2001-05-06 01:01:03,4.757,-3.945,0.245,2.644
2001-05-06 01:01:19,4.791,-3.994,0.32,2.625
